trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	66.1  	1   	6  +  6   	---     	1.851	1.306	1   	even    	even    
2   	68.1  	2   	9  +  8   	---     	1.85	0.825	1   	odd     	odd     
3   	70.1  	3   	4  +  9   	---     	1.85	1.353	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	107   	1   	5  +  6   	---     	1.85	1.388	1   	odd     	odd     
2   	109   	2   	9  +  8   	---     	1.85	0.676	1   	odd     	odd     
3   	111   	3   	6  +  6   	---     	1.85	0.644	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	146   	1   	4  +  9   	---     	1.85	1.573	1   	odd     	odd     
2   	148   	2   	9  +  3   	---     	1.85	0.717	1   	even    	even    
3   	150   	3   	7  +  9   	---     	1.851	1.349	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	186   	1   	3  +  9   	---     	1.85	0.821	1   	even    	even    
2   	188   	2   	8  +  9   	---     	1.85	1.133	1   	odd     	odd     
3   	190   	3   	9  +  5   	---     	1.85	1.397	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	226   	1   	7  +  4   	---     	1.85	1.341	0   	even    	odd     
2   	228   	2   	7  +  6   	---     	1.853	NR  	0   	NR      	odd     
3   	230   	3   	9  +  3   	---     	1.85	0.717	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	266   	1   	9  +  6   	---     	1.851	1.773	1   	odd     	odd     
2   	268   	2   	2  +  9   	---     	1.85	1.205	1   	odd     	odd     
3   	270   	2   	2  +  9 (repeat 1)	---     	1.851	0.613	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	306   	1   	7  +  7   	---     	1.851	1.382	1   	even    	even    
2   	308   	2   	8  +  8   	---     	1.853	0.83	1   	even    	even    
3   	310   	3   	9  +  4   	---     	1.85	1.206	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	346   	1   	9  +  3   	---     	1.85	0.878	1   	even    	even    
2   	348   	2   	9  +  7   	---     	1.85	0.934	1   	even    	even    
3   	350   	3   	5  +  6   	---     	1.851	0.982	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	386   	1   	6  +  7   	---     	1.85	1.159	1   	odd     	odd     
2   	388   	2   	3  +  9   	---     	1.85	0.743	1   	even    	even    
3   	390   	3   	8  +  9   	---     	1.85	0.871	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	426   	1   	7  +  4   	---     	1.851	1.319	1   	odd     	odd     
2   	428   	2   	7  +  6   	---     	1.851	1.287	1   	odd     	odd     
3   	430   	3   	6  +  5   	---     	1.851	0.791	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	466   	1   	8  +  5   	---     	1.85	0.999	1   	odd     	odd     
2   	468   	2   	8  +  6   	---     	1.851	1.119	1   	even    	even    
3   	470   	1   	8  +  5 (repeat 1)	---     	1.851	1.375	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	506   	1   	6  +  8   	---     	1.85	1.064	0   	odd     	even    
2   	508   	2   	4  +  9   	---     	1.85	1.279	1   	odd     	odd     
3   	510   	3   	4  +  7   	---     	1.85	1.48	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	546   	1   	8  +  4   	---     	1.851	1.48	1   	even    	even    
2   	548   	2   	8  +  9   	---     	1.85	0.871	1   	odd     	odd     
3   	550   	3   	4  +  8   	---     	1.85	0.871	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	586   	1   	7  +  9   	---     	1.85	1.592	1   	even    	even    
2   	588   	2   	6  +  5   	---     	1.851	0.72	1   	odd     	odd     
3   	590   	3   	3  +  8   	---     	1.851	0.936	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	626   	1   	8  +  4   	---     	1.851	0.984	1   	even    	even    
2   	628   	2   	7  +  8   	---     	1.85	1.816	1   	odd     	odd     
3   	630   	3   	7  +  6   	---     	1.85	1.144	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	666   	1   	8  +  9   	---     	1.85	1.624	1   	odd     	odd     
2   	668   	2   	7  +  6   	---     	1.851	0.889	1   	odd     	odd     
3   	670   	3   	8  +  6   	---     	1.85	1.057	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	707   	1   	9  +  4   	---     	1.851	NR  	0   	NR      	odd     
2   	709   	2   	9  +  9   	---     	1.85	0.761	1   	even    	even    
3   	711   	3   	8  +  6   	---     	1.851	0.825	1   	even    	even    
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	746   	1   	5  +  6   	---     	1.851	1.673	1   	odd     	odd     
2   	748   	2   	6  +  5   	---     	1.854	0.633	1   	odd     	odd     
3   	750   	3   	7  +  4   	---     	1.85	0.737	0   	even    	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
1   	786   	1   	9  +  9   	---     	1.85	1.17	1   	even    	even    
2   	788   	2   	6  +  7   	---     	1.85	0.89	1   	odd     	odd     
3   	790   	3   	2  +  9   	---     	1.85	0.786	1   	odd     	odd     
trial	ons(s)	stim_id	stim      	cond    	dur 	rt  	acc 	resp    	cresp   
